α [°],H [mm],b [mm],Ls [mm],γ [N/mm3],Pmax [N],Vroot [mm3],φ [°]
15,90.0,19.4114,17.55556302831988,1.6227528090000002e-05,9.080643766215946,4534.350557118027,39.33
15,90.0,12.940999999999999,41.703708685546594,1.6227528090000002e-05,8.758712685220129,3535.876731963809,39.33
15,90.0,19.4114,17.55556302831988,1.6227528090000002e-05,11.753734108513036,8267.564868262021,39.33
15,90.0,12.940999999999999,41.703708685546594,1.6227528090000002e-05,10.797682927270913,5796.469486737588,39.33
15,90.0,19.4114,17.55556302831988,1.6227528090000002e-05,14.095078801970407,23281.01164258249,39.33
30,90.0,25.0,46.69872981077806,1.6227528090000002e-05,9.423977046144007,2827.91895692997,39.33
30,60.0,25.0,16.69872981077806,1.6227528090000002e-05,4.436996466849162,3154.9882045997947,39.33
30,90.0,37.5,25.048094716167103,1.6227528090000002e-05,11.139099021402783,4791.549157525702,39.33
30,90.0,25.0,46.69872981077806,1.6227528090000002e-05,11.187882725873392,3744.036827147881,39.33
30,90.0,25.0,46.69873,1.6227528090000002e-05,12.050443881944997,3744.036827147881,39.33
30,120.0,25.0,76.69872981077806,1.6227528090000002e-05,21.138668177463693,4333.085449695966,39.33
30,120.0,25.0,76.69873,1.6227528090000002e-05,22.377158183415,4333.085449695966,39.33
30,150.0,25.0,106.69873,1.6227528090000002e-05,35.883579700220004,4922.134072244054,39.33
30,60.0,25.0,16.69872981077806,1.6227528090000002e-05,5.7637628783804,5745.8302135841695,39.33
30,90.0,37.5,25.048094716167103,1.6227528090000002e-05,14.59258940572752,8855.012722880292,39.33
30,90.0,25.0,46.69872981077806,1.6227528090000002e-05,13.890200587874556,6334.878836132256,39.33
30,120.0,25.0,76.69872981077806,1.6227528090000002e-05,26.367723489059344,6923.927458680342,39.33
30,120.0,25.0,76.69873,1.6227528090000002e-05,27.943116562584997,6923.927458680342,39.33
30,150.0,25.0,106.69873,1.6227528090000002e-05,46.467243922330006,7512.976081228429,39.33
30,90.0,25.0,46.69872981077806,1.6227528090000002e-05,16.465722631585038,8689.453442612594,39.33
30,90.0,25.0,46.69872981077806,1.6227528090000002e-05,16.953490728774117,10807.760646588897,39.33
30,90.0,25.0,46.69872981077806,1.6227528090000002e-05,18.007110208602843,20595.51473189553,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,9.560514481357332,2627.546101587218,39.33
45,60.0,25.0,35.0,1.6227528090000002e-05,5.383233080247388,2686.289870508294,39.33
45,90.0,53.033,36.966991411008934,1.6227528090000002e-05,14.934077561135252,5060.176706882071,39.33
45,90.0,35.3553,54.644660940672615,1.6227528090000002e-05,14.153605457831734,3934.6553800554775,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,13.02197475382832,3275.3384930563802,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,14.669144032059993,3275.3402488696497,39.33
45,120.0,25.0,95.0,1.6227528090000002e-05,24.543372188381678,3864.3871156044665,39.33
45,120.0,25.0,95.0,1.6227528090000002e-05,25.433287879439998,3864.388871417736,39.33
45,150.0,25.0,125.0,1.6227528090000002e-05,42.357748607195,4453.437493965822,39.33
45,60.0,25.0,35.0,1.6227528090000002e-05,6.788083222051872,4518.289523259826,39.33
45,90.0,53.033,36.966991411008934,1.6227528090000002e-05,21.733747524630093,9227.441952266814,39.33
45,90.0,35.3553,54.644660940672615,1.6227528090000002e-05,18.6607153219852,6629.2990690700035,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,16.377897284389142,5107.338145807912,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,15.985357291119998,5107.342198910808,39.33
45,120.0,25.0,95.0,1.6227528090000002e-05,29.66511847411345,5696.386768355997,39.33
45,120.0,25.0,95.0,1.6227528090000002e-05,30.525533088365002,5696.3908214588955,39.33
45,150.0,25.0,125.0,1.6227528090000002e-05,47.88742336203,6285.439444006981,39.33
45,90.0,35.3553,54.644660940672615,1.6227528090000002e-05,20.83621988549047,9156.876475600595,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,17.29490682290599,6772.271516075507,39.33
45,90.0,35.3553,54.644660940672615,1.6227528090000002e-05,21.948365576357837,11517.387599647249,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,18.016852715170874,8270.138603859163,39.33
45,90.0,35.3553,54.644660940672615,1.6227528090000002e-05,23.880025902899362,28887.24380265261,39.33
45,90.0,25.0,65.0,1.6227528090000002e-05,17.519342111413756,15206.531093064585,39.33
60,90.0,25.0,75.56624327025935,1.6227528090000002e-05,10.497081539108782,2587.050801339838,39.33
60,90.0,43.3013,65.0,1.6227528090000002e-05,19.128998850860913,4153.310604043065,39.33
60,90.0,25.0,75.56624327025935,1.6227528090000002e-05,15.616981810674849,3115.971436043278,39.33
60,90.0,25.0,75.566243,1.6227528090000002e-05,14.246427403144994,3115.972074179287,39.33
60,120.0,25.0,105.56624,1.6227528090000002e-05,26.825020188819998,3705.020696727373,39.33
60,90.0,43.3013,65.0,1.6227528090000002e-05,23.714191555642238,6893.9401441288355,39.33
60,90.0,25.0,75.56624327025935,1.6227528090000002e-05,17.733963276900326,4611.793974529307,39.33
60,90.0,25.0,75.566243,1.6227528090000002e-05,19.109162678795,4611.795378428525,39.33
60,120.0,25.0,105.56624,1.6227528090000002e-05,33.12854063715,5200.844000976611,39.33
60,150.0,25.0,135.56624,1.6227528090000002e-05,57.151950962715,5789.892623524697,39.33
60,90.0,25.0,75.56624327025935,1.6227528090000002e-05,17.616838348724496,12895.55027804501,39.33
75,90.0,25.0,83.30127,1.6227528090000002e-05,16.336478510379994,3099.036158305483,39.33
75,120.0,25.0,113.30127,1.6227528090000002e-05,30.265623520755,3688.0847808535686,39.33
75,150.0,25.0,143.30127,1.6227528090000002e-05,45.706152757825,4277.133403401655,39.33
75,90.0,25.0,83.30127,1.6227528090000002e-05,18.275491516975,4440.154696707681,39.33
75,120.0,25.0,113.30127,1.6227528090000002e-05,36.432825650095,5029.203319255767,39.33
75,150.0,25.0,143.30127,1.6227528090000002e-05,59.55683280021999,5618.251941803854,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,12.282388972947714,2722.6416382795096,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,14.231688743282286,3180.700573388465,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,16.455980569839703,4476.121577880652,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,17.480300468688483,5653.408881120821,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,17.460815900375117,6712.562483108972,39.33
90,60.0,12.5,60.0,1.6227528090000002e-05,6.063413449065,3632.466505713199,39.33
90,60.0,25.0,60.0,1.6227528090000002e-05,9.903385737595,10995.574287564275,39.33
90,60.0,37.5,60.0,1.6227528090000002e-05,15.186153562054994,23267.42059064941,39.33
90,60.0,50.0,60.0,1.6227528090000002e-05,22.715467014449995,40448.00541496859,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,19.646066084207252,11584.622910112363,39.33
90,90.0,12.5,90.0,1.6227528090000002e-05,13.475755141589994,4221.515128261285,39.33
90,90.0,25.0,90.0,1.6227528090000002e-05,20.975132814195,11584.622910112363,39.33
90,90.0,37.5,90.0,1.6227528090000002e-05,29.868635618779997,23856.46921319749,39.33
90,90.0,50.0,90.0,1.6227528090000002e-05,43.42549567853,41037.05403751668,39.33
90,120.0,12.5,120.0,1.6227528090000002e-05,27.261865258389996,4810.5637508093705,39.33
90,120.0,25.0,120.0,1.6227528090000002e-05,36.40519737505,12173.67153266045,39.33
90,120.0,37.5,120.0,1.6227528090000002e-05,50.193183503995,24445.51783574558,39.33
